UNAIDS_year,iso3,subnational,group,site,point,latitude,longitude,geopositioning_method,admin_level,shapefile,location_code,flag,UNAIDS_lat,UNAIDS_lon,Distance,,Checked,
2017,BEN,,TOTAL,CM Porto-Novo,1,6.5147124,2.614103,Google Maps - CENTRE MEDICAL AHMADIYYA,,,,,,,,,,
2017,BEN,,TOTAL,CM Porto-Novo,,,,DUPLICATE,,,,,,,,,,
2017,BEN,,TOTAL,Comè,1,6.4092599,1.8760746,Google Maps- used Town GPS Com�,,,,,,,,,,
2017,BEN,,TOTAL,Dassa zoumè,1,7.7800496,2.1795043,Google Maps- used Town GPS Dassa-Zoum�,,,,,,,,,,
2017,BEN,,TOTAL,Dasso,,,,DUPLICATE,,,,1,,,,,,
2017,BEN,,TOTAL,Djougou,1,9.7,1.666667,ancss-coordinates-master-list_2018-03-06,,,,,9.7,1.666667,,,1,
2017,BEN,,TOTAL,Dogbo,1,6.80126,1.782828,ancss-coordinates-master-list_2018-03-06,,,,,6.80126,1.782828,,,1,
2017,BEN,,TOTAL,Ekpè,1,6.3945023,2.5276063,Googel Maps - Used Town GPS Ekpe,,,,,,,,,,
2017,BEN,,TOTAL,Fonougo,1,9.308,2.315834,ancss-coordinates-master-list_2018-03-06,,,,google maps says fonougo in different area,9.308,2.315834,,,,
2017,BEN,,TOTAL,Gbanlin Djègbe,1,8.37386,2.425585,Bing Maps Too Large - Mid point 20km between Gbanlin and Djegbe,,,,,,,,,,
2017,BEN,,TOTAL,Gnemasson-ouassa-Tobre,1,7.059597,2.117271,Google maps - no hospital found. Using tOuassa town gps,,,,,10.228333,2.001944,,,,
2017,BEN,,TOTAL,HOMEL,1,6.361355,2.438245,Google maps,,,,,52.445278,30.984167,,,,
2017,BEN,,TOTAL,Idignin Adaplamè,1,7.45196,2.56577,osm.org Centre de sant� d'Adaplam�,,,,,,,,,,
2017,BEN,,TOTAL,Ifangni,1,6.6616,2.7244,https://maps.me/catalog/health/amenity-hospital/centre-de-sante-d-ifeangi-4611686022422731706/,,,,,6.677744,2.7182728,,,,
2017,BEN,,TOTAL,Kétou,1,7.3604,2.6024,osm.org used Town GPS,,,,,,,,,,
2017,BEN,,TOTAL,Kandi,1,11.128611,2.936944,ancss-coordinates-master-list_2018-03-06,,,,,11.128611,2.936944,,,1,
2017,BEN,,TOTAL,Kilibo,1,8.571667,2.601667,ancss-coordinates-master-list_2018-03-06,,,,,8.571667,2.601667,,,1,
2017,BEN,,TOTAL,Kolokondé,1,9.8902,1.7698,osm.org used Town GPS,,,,,,,,,,
2017,BEN,,TOTAL,Kotopounga,1,10.312309,1.534912,Google maps,,,,,10.2963526,1.3806902,,,,
2017,BEN,,TOTAL,Kouandé,1,10.3321,1.6919,osm.org used Town GPS,,,,,,,,,,
2017,BEN,,TOTAL,Lobogo,1,6.6607182,1.7538817,ancss-coordinates-master-list_2018-03-06,,,,cannot verify,6.6607182,1.7538817,,,,
2017,BEN,,TOTAL,Lokossa,1,6.633333,1.716667,ancss-coordinates-master-list_2018-03-06,,,,,6.633333,1.716667,,,1,
2017,BEN,,TOTAL,Lonkly,1,7.0035894,1.7538817,ancss-coordinates-master-list_2018-03-06,,,,geo-names says different place,7.0035894,1.7538817,,,,
2017,BEN,,TOTAL,Malanville,1,11.866667,3.383333,ancss-coordinates-master-list_2018-03-06,,,,,11.866667,3.383333,,,1,
2017,BEN,,TOTAL,Manigri,1,8.973381,1.724122,Google maps - using town gps,,,,,8.966667,1.716667,,,,
2017,BEN,,TOTAL,Missessin,1,6.367393,2.4431102,ancss-coordinates-master-list_2018-03-06,,,,,6.367393,2.4431102,,,1,
2017,BEN,,TOTAL,Natitingou,1,10.30929,1.373588,Google maps,,,,,10.2963526,1.3806902,,,,
2017,BEN,,TOTAL,Nikki,1,9.933333,3.208333,ancss-coordinates-master-list_2018-03-06,,,,,9.933333,3.208333,,,1,
2017,BEN,,TOTAL,Ouessè,1,8.4930009,2.4161768,Google maps- used town GPS,,,,,,,,,,
2017,BEN,,TOTAL,Ouidah1,1,6.366667,2.083333,ancss-coordinates-master-list_2018-03-06,,,,,6.366667,2.083333,,,1,
2017,BEN,,TOTAL,Ouinhi,,,,Cannot Find- area too large (20km),,,,,7.1078076,2.4801989,,,,
2017,BEN,,TOTAL,Paouingnan,1,8.3022297,2.302446,ancss-coordinates-master-list_2018-03-06,,,,cannot verify,8.3022297,2.302446,,,,
2017,BEN,,TOTAL,Parakou,1,9.35,2.616667,ancss-coordinates-master-list_2018-03-06,,,,,9.35,2.616667,,,1,
2017,BEN,,TOTAL,Pehunco,1,10.228333,2.001944,ancss-coordinates-master-list_2018-03-06,,,,,10.228333,2.001944,,,1,
2017,BEN,,TOTAL,Sékou,1,6.636458,2.225082,osm.org- used Town GPS,,,,,,,,,,
2017,BEN,,TOTAL,Sémè podji,1,6.3968393,2.5813072,osm.org- used Town GPS,,,,,,,,,,
2017,BEN,,TOTAL,Sagon,1,7.3469268,2.0665197,ancss-coordinates-master-list_2018-03-06,,,,geo-names says different place,7.3469268,2.0665197,,,,
2017,BEN,,TOTAL,Savalou,1,7.933333,1.966667,ancss-coordinates-master-list_2018-03-06,,,,,7.933333,1.966667,,,1,
2017,BEN,,TOTAL,Site 60,,,,Cannot find,,,,1,,,,,,
2017,BEN,,TOTAL,Site 61,,,,Cannot find,,,,1,,,,,,
2017,BEN,,TOTAL,St Jean,1,6.3781427,2.418401,ancss-coordinates-master-list_2018-03-06,,,,,6.3781427,2.418401,,,1,
2017,BEN,,TOTAL,St Luc,1,6.384653,2.403061,Google maps,,,,changed when double checking,6.366667,2.433333,,,,
2017,BEN,,TOTAL,Tchaourou rural / Alafiarou ,1,9.8999994,3.3991574,"Google maps - used town ""Alafiarou"" GPS",,,,,,,,,,
2017,BEN,,TOTAL,Tchetti,1,7.828053,1.66306,Google maps - using town gps,,,,,7.828095,1.6639235,,,,
2017,BEN,,TOTAL,Tourou,1,9.345329,2.545949,Google maps - using town gps,,,,,9.3443574,2.5470339,,,,
2017,BFA,,Urbain,Bobo-Dioulasso,1,11.183333,-4.283333,Google maps - this site represents mult. hospitals (found in reports) that are within 5km. Using mid-point,,,,,11.183333,-4.283333,,,,
2017,BFA,,Rural,Boulsa (%),1,12.65,-0.566667,ancss-coordinates-master-list_2018-03-06,,,,,12.65,-0.566667,,,,
2017,BFA,,Rural,Dedougou (%),1,12.45,-3.466667,ancss-coordinates-master-list_2018-03-06,,,,,12.45,-3.466667,,,,
2017,BFA,,Rural,Dori (%),1,14.03,-0.03,ancss-coordinates-master-list_2018-03-06,,,,,14.03,-0.03,,,,
2017,BFA,,Urbain,Fada,1,12.066667,0.35,ancss-coordinates-master-list_2018-03-06,,,,,12.066667,0.35,,,,
