"GAUL_CODE","year","hiv_test","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2","shapefile","OBJECTID","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3","Shape_Leng","Shape_Area","NAME","COUNTRY_ID","ADMN_LEVEL","PARENT_ID","Area"
"1",2008,0.196905299695486,"211","ZAF","South Africa","1","Eastern Cape","1","Alfred Nzo","ZA.EC.AN","0","DC44","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2001,0.187901185163849,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2002,0.189650759929741,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2003,0.20238130973856,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2000,0.169026234832335,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2005,0.208305889372405,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2006,0.209879482319304,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2007,0.214524188618026,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2004,0.200361692685611,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2012,0.209278273282689,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
