"GAUL_CODE","year","hiv_test","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2","shapefile"
"1",2000,0.343507927745707,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2001,0.349023068629419,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2002,0.335162340875562,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2003,0.333510246990502,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2004,0.323929504726161,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2005,0.310543652511216,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2006,0.307012604953886,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2007,0.304355067368275,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2008,0.300880023787444,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2009,0.297340850272128,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2010,0.299730390309308,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2011,0.298014923070822,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2012,0.291251802712634,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2013,0.284886097206935,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2014,0.281363258469432,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2015,0.280195338353331,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2016,0.274061735002831,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"1",2017,0.275055771141729,"30","BWA","Botswana","1","Central","1","Bobonong",NA,NA,"Sub-district","Sub-district","BWA_adm2"
"10",2000,0.197526355984969,"30","BWA","Botswana","3","Kgalagadi","10","Gemsbok",NA,NA,"Unknown","Unknown","BWA_adm2"
"10",2001,0.194135576555427,"30","BWA","Botswana","3","Kgalagadi","10","Gemsbok",NA,NA,"Unknown","Unknown","BWA_adm2"
"10",2002,0.198840771925023,"30","BWA","Botswana","3","Kgalagadi","10","Gemsbok",NA,NA,"Unknown","Unknown","BWA_adm2"
"10",2003,0.187166679789443,"30","BWA","Botswana","3","Kgalagadi","10","Gemsbok",NA,NA,"Unknown","Unknown","BWA_adm2"
"10",2004,0.189425545404445,"30","BWA","Botswana","3","Kgalagadi","10","Gemsbok",NA,NA,"Unknown","Unknown","BWA_adm2"
"10",2005,0.185678345893911,"30","BWA","Botswana","3","Kgalagadi","10","Gemsbok",NA,NA,"Unknown","Unknown","BWA_adm2"
"10",2006,0.185847927507422,"30","BWA","Botswana","3","Kgalagadi","10","Gemsbok",NA,NA,"Unknown","Unknown","BWA_adm2"
"10",2007,0.180905840418883,"30","BWA","Botswana","3","Kgalagadi","10","Gemsbok",NA,NA,"Unknown","Unknown","BWA_adm2"
