"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Gombe (Gombe)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Kaltungo)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Gombe)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Kaltungo)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Gombe)",2003,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Kaltungo)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Zambuk)",2003,TRUE,50,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Gombe)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Kaltungo)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Kwami)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Zambuk)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Gombe)",2008,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Kaltungo)",2008,TRUE,298,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Kwami)",2008,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Zambuk)",2008,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Gombe)",2010,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Kaltungo)",2010,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Kwami)",2010,TRUE,136,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Zambuk)",2010,TRUE,124,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Gombe)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Kaltungo)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Kwami)",2014,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
"Gombe (Zambuk)",2014,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25333",0,0,"NGA_25333",NA,NA,NA,NA,NA
