"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Niger (Minna)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Wushishi)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Minna)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Wushishi)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Minna)",2003,TRUE,289,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Paiko)",2003,TRUE,50,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Wushishi)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Kebbi (Senchi)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Lemu)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Minna)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Paiko)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Wushishi)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Kebbi (Senchi)",2008,TRUE,147,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Lemu)",2008,TRUE,151,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Minna)",2008,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Paiko)",2008,TRUE,149,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Wushishi)",2008,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Kebbi (Senchi)",2010,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Lemu)",2010,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Minna)",2010,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Paiko)",2010,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Wushishi)",2010,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Kebbi (Senchi)",2014,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Lemu)",2014,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Minna)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Paiko)",2014,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
"Niger (Wushishi)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25344",0,0,"NGA_25344",NA,NA,NA,NA,NA
