"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Yobe (Damaturu)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Geidam)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Damaturu)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Geidam)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Babangida)",2003,TRUE,50,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Damaturu)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Geidam)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe(Potiskum)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Babangida)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Damaturu)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Geidam)",2005,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Jakusko)",2005,TRUE,133,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe(Potiskum)",2005,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Babangida)",2008,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Damaturu)",2008,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Geidam)",2008,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Jakusko)",2008,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Babangida)",2010,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Damaturu)",2010,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Geidam)",2010,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Jakusko)",2010,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe(Potiskum)",2010,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Babangida)",2014,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Damaturu)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Geidam)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe (Jakusko)",2014,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
"Yobe(Potiskum)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25353",0,0,"NGA_25353",NA,NA,NA,NA,NA
