"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Jijiga",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Jijiga",2001,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Gode",2002,TRUE,269,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Jijiga",2002,TRUE,395,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Kelafo HC",2002,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Gode",2003,TRUE,200,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Jijiga",2003,TRUE,261,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Gode",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Jijiga",2005,TRUE,307,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Erer HC",2007,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Gode",2007,TRUE,346,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Jijiga",2007,TRUE,285,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Kebribeyah HC",2007,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Awbere HC",2009,TRUE,410,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Dolo Odo HC",2009,TRUE,404,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Erer HC",2009,TRUE,406,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Gode",2009,TRUE,317,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Jijiga",2009,TRUE,310,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Kebribeyah HC",2009,TRUE,406,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Kelafo HC",2009,TRUE,404,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Awbere HC",2012,TRUE,473,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Dolo Odo HC",2012,TRUE,409,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Erer HC",2012,TRUE,404,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Gode",2012,TRUE,313,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Jijiga",2012,TRUE,332,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
"Kebribeyah HC",2012,TRUE,406,"ancss","15-49","15","35",0,0,0,0,"ETH_44856",0,0,"ETH_44856",NA,NA,NA,NA,NA
