"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","clinic_match","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
" Kirambi",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Biryogo",1991,TRUE,160,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Biryogo",1996,TRUE,408,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Biryogo",1998,TRUE,395,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Butare (CUSP)",1998,TRUE,414,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Byumba",1998,TRUE,414,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gahini",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gakoma",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gikondo",1989,TRUE,1208,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gikondo",1991,TRUE,282,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gikondo",1996,TRUE,405,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gikondo",1998,TRUE,502,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kabgayi",1996,TRUE,429,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kabutare",1996,TRUE,78,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kayove",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kigali CHK",1996,TRUE,299,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kigali CHK",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kigali CHK",1989,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kigali Muhima",1989,TRUE,1395,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kigali Muhima",1991,TRUE,296,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kigeme",1998,TRUE,382,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kirehe",1996,TRUE,399,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kirehe",1998,TRUE,397,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mukoma",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mukungu 2",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Musasa",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyagatare2",1996,TRUE,281,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyagatare2",1998,TRUE,257,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyakabuye",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyamata",1996,TRUE,353,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyamata",1998,TRUE,371,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhengeri",1989,TRUE,1056,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhengeri",1996,TRUE,423,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhengeri Rural",1989,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhengeri Rural",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruli",1998,TRUE,390,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruli",1996,TRUE,413,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rwamagana 2",1998,TRUE,326,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Tanda",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Biryogo",2002,TRUE,501,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Bungwe",2002,TRUE,507,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Busasamana",2002,TRUE,505,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Byumba",2002,TRUE,477,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"GIHEMBE",2002,TRUE,267,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gikondo",2002,TRUE,509,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gisenyi",2002,TRUE,491,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gitare",2002,TRUE,503,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kigembe",2002,TRUE,497,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kirehe",2002,TRUE,477,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mashesha",2002,TRUE,502,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mugina",2002,TRUE,457,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mukungu",2002,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Musebeya",2002,TRUE,450,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyamagabe",2002,TRUE,496,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyanza",2002,TRUE,504,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rubengera",2002,TRUE,509,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhango",2002,TRUE,509,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhengeri",2002,TRUE,505,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhuha",2002,TRUE,499,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rukara",2002,TRUE,493,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
