"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","clinic_match","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Rukomo",2002,TRUE,511,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruli",2002,TRUE,505,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rusizi",2002,TRUE,456,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rwamagana",2002,TRUE,503,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Biryogo",2003,TRUE,513,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Bungwe",2003,TRUE,510,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Busasamana",2003,TRUE,503,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Byumba",2003,TRUE,489,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gikondo",2003,TRUE,499,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gisenyi",2003,TRUE,504,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gitare",2003,TRUE,504,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kigembe",2003,TRUE,501,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kirehe",2003,TRUE,501,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mashesha",2003,TRUE,509,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mugina",2003,TRUE,497,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mukungu",2003,TRUE,475,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Musebeya",2003,TRUE,357,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyamagabe",2003,TRUE,506,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyanza",2003,TRUE,501,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rubengera",2003,TRUE,492,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhango",2003,TRUE,510,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhengeri",2003,TRUE,504,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhuha",2003,TRUE,500,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rukara",2003,TRUE,509,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rukomo",2003,TRUE,502,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruli",2003,TRUE,346,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rusizi",2003,TRUE,451,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rwamagana",2003,TRUE,504,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Biryogo",2005,TRUE,490,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Bungwe",2005,TRUE,467,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Busasamana",2005,TRUE,518,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Byumba",2005,TRUE,472,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gikondo",2005,TRUE,518,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gisenyi",2005,TRUE,499,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gitarama",2005,TRUE,277,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gitare",2005,TRUE,513,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kabuga",2005,TRUE,501,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kigembe",2005,TRUE,519,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kirehe",2005,TRUE,466,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mashesha",2005,TRUE,548,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mugina",2005,TRUE,395,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mukungu",2005,TRUE,404,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Murunda",2005,TRUE,511,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Musebeya",2005,TRUE,385,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyagatare",2005,TRUE,378,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyamagabe",2005,TRUE,464,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyanza",2005,TRUE,512,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rubengera",2005,TRUE,467,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhango",2005,TRUE,519,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhengeri",2005,TRUE,535,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhuha",2005,TRUE,519,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rukara",2005,TRUE,514,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rukomo",2005,TRUE,323,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruli",2005,TRUE,355,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Runyombyi",2005,TRUE,313,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rusizi",2005,TRUE,332,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rwamagana",2005,TRUE,517,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Simbi",2005,TRUE,514,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Biryogo",2007,TRUE,510,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Bungwe",2007,TRUE,510,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Busasamana",2007,TRUE,520,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Byumba",2007,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gikondo",2007,TRUE,497,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gisenyi",2007,TRUE,519,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gitarama",2007,TRUE,352,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gitare",2007,TRUE,501,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kabuga",2007,TRUE,495,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kigembe",2007,TRUE,325,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kirehe",2007,TRUE,434,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mashesha",2007,TRUE,498,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mugina",2007,TRUE,422,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mukungu",2007,TRUE,457,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Murunda",2007,TRUE,441,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Musebeya",2007,TRUE,454,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyagatare",2007,TRUE,384,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyamagabe",2007,TRUE,433,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyanza",2007,TRUE,510,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rubengera",2007,TRUE,420,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhango",2007,TRUE,510,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhengeri",2007,TRUE,503,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhuha",2007,TRUE,500,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rukara",2007,TRUE,525,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rukomo",2007,TRUE,535,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruli",2007,TRUE,351,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Runyombyi",2007,TRUE,402,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rusizi",2007,TRUE,505,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rwamagana",2007,TRUE,509,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Simbi",2007,TRUE,498,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Biryogo",2011,TRUE,447,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Bungwe",2011,TRUE,542,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Busasamana",2011,TRUE,486,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Byumba",2011,TRUE,492,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gikondo",2011,TRUE,434,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gisenyi",2011,TRUE,416,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gitarama",2011,TRUE,475,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gitare",2011,TRUE,456,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kabuga",2011,TRUE,505,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kigembe",2011,TRUE,383,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kirehe",2011,TRUE,411,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mashesha",2011,TRUE,507,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mugina",2011,TRUE,370,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Mukungu",2011,TRUE,382,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Murunda",2011,TRUE,383,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Musebeya",2011,TRUE,418,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyagatare",2011,TRUE,482,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyamagabe",2011,TRUE,416,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Nyanza",2011,TRUE,458,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rubengera",2011,TRUE,562,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhango",2011,TRUE,575,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhengeri",2011,TRUE,564,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruhuha",2011,TRUE,339,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rukara",2011,TRUE,418,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rukomo",2011,TRUE,311,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Ruli",2011,TRUE,388,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Runyombyi",2011,TRUE,402,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rusizi",2011,TRUE,401,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Rwamagana",2011,TRUE,426,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Simbi",2011,TRUE,461,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Biryogo",2013,TRUE,631,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Bungwe",2013,TRUE,455,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Busasamana",2013,TRUE,659,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Byumba",2013,TRUE,414,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"COKO",2013,TRUE,244,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"GAKENKE",2013,TRUE,519,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"GASHUBI",2013,TRUE,236,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"GIHEMBE",2013,TRUE,204,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"GITEGA",2013,TRUE,268,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gikondo",2013,TRUE,842,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gisenyi",2013,TRUE,1283,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gitarama",2013,TRUE,354,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Gitare",2013,TRUE,434,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"KIBUNGO",2013,TRUE,963,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
"Kabuga",2013,TRUE,835,"ancss","15-49","15","35",0,0,0,0,"RWA",NA,0,0,"RWA",NA,NA,NA,NA,NA
