"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Ekiti (Ado Ekiti)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ikole Ekiti)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ado Ekiti)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ikole Ekiti)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ado Ekiti)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ikole Ekiti)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ipao)",2003,TRUE,50,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ado Ekiti)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Igbara Odo)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ikole Ekiti)",2005,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ipao)",2005,TRUE,149,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ado Ekiti)",2008,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Igbara Odo)",2008,TRUE,148,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ikole Ekiti)",2008,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ipao)",2008,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ado Ekiti)",2010,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Igbara Odo)",2010,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ikole Ekiti)",2010,TRUE,280,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ipao)",2010,TRUE,149,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ado Ekiti)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Igbara Odo)",2014,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ikole Ekiti)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
"Ekiti (Ipao)",2014,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25330",0,0,"NGA_25330",NA,NA,NA,NA,NA
