"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Delta (Agbor)",1992,TRUE,206,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Agbor)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Agbor)",1995,TRUE,334,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Agbor)",1994,TRUE,400,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Akwukwu)",1995,TRUE,55,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Obiaruku)",1995,TRUE,218,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Warri)",1992,TRUE,191,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Warri)",1995,TRUE,401,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Warri)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Warri)",1994,TRUE,399,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Agbor)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Warri)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Agbor)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Warri)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Agbor)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Okpara/Ororokpe)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Owhelogbo)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Warri)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Agbor)",2008,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Okpara/Ororokpe)",2008,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Owhelogbo)",2008,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Warri)",2008,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Agbor)",2010,TRUE,110,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Okpara/Ororokpe)",2010,TRUE,114,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Owhelogbo)",2010,TRUE,56,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Warri)",2010,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Agbor)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Okpara/Ororokpe)",2014,TRUE,149,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Owhelogbo)",2014,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
"Delta (Warri)",2014,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"NGA_25327",0,0,"NGA_25327",NA,NA,NA,NA,NA
