"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Anambra (Awka)",1994,TRUE,200,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Awka)",1995,TRUE,93,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Awka)",1999,TRUE,298,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ekwulobia)",1994,TRUE,100,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ekwulobia)",1995,TRUE,200,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ekwulobia)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ogidi)",1994,TRUE,200,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ogidi)",1995,TRUE,200,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Onitsha)",1995,TRUE,499,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Onitsha)",1994,TRUE,400,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Awka)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ekwulobia)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Onitsha)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Awka)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ekwulobia)",2003,TRUE,274,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Enigwu-Ukwu)",2003,TRUE,60,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Onitsha)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Awka)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ekwulobia)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Enigwu-Ukwu)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ogidi)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Onitsha)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ekwulobia)",2008,TRUE,271,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Enigwu-Ukwu)",2008,TRUE,149,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ogidi)",2008,TRUE,132,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Awka)",2010,TRUE,304,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ekwulobia)",2010,TRUE,305,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Enigwu-Ukwu)",2010,TRUE,161,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ogidi)",2010,TRUE,161,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Onitsha)",2010,TRUE,305,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Awka)",2014,TRUE,323,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ekwulobia)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Enigwu-Ukwu)",2014,TRUE,152,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Ogidi)",2014,TRUE,105,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
"Anambra (Onitsha)",2014,TRUE,301,"ancss","15-49","15","35",0,0,0,0,"NGA_25321",0,0,"NGA_25321",NA,NA,NA,NA,NA
