"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Edo (Abudu)",1995,TRUE,32,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Benin City)",1994,TRUE,400,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Benin City)",1992,TRUE,173,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Benin City)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Benin City)",1995,TRUE,413,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Benin City)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Ekpoma)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Benin City)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Ekpoma)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Iruekpen)",2003,TRUE,50,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo  (Agbede)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Benin City)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Ekpoma)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Iruekpen)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo  (Agbede)",2008,TRUE,149,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Benin City)",2008,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Ekpoma)",2008,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Iruekpen)",2008,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo  (Agbede)",2010,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Benin City)",2010,TRUE,307,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Ekpoma)",2010,TRUE,304,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Iruekpen)",2010,TRUE,182,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo  (Agbede)",2014,TRUE,160,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Benin City)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Ekpoma)",2014,TRUE,202,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
"Edo (Iruekpen)",2014,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25329",0,0,"NGA_25329",NA,NA,NA,NA,NA
