"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Diredawa (Hsp)",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (Hsp)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (HC)",2001,TRUE,385,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (Hsp)",2001,TRUE,330,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (HC)",2002,TRUE,450,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (Hsp)",2002,TRUE,321,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (HC)",2003,TRUE,310,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (Hsp)",2003,TRUE,292,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Biyowale HC",2005,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (HC)",2005,TRUE,303,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (Hsp)",2005,TRUE,273,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Biyowale HC",2007,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (HC)",2007,TRUE,250,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (Hsp)",2007,TRUE,260,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Biyowale HC",2009,TRUE,404,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (HC)",2009,TRUE,305,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (Hsp)",2009,TRUE,306,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Biyowale HC",2012,TRUE,478,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (HC)",2012,TRUE,488,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (Hsp)",2012,TRUE,322,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Biyowale HC",2014,TRUE,500,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (HC)",2014,TRUE,496,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (Hsp)",2014,TRUE,388,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Biyowale HC",2016,TRUE,499,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (HC)",2016,TRUE,494,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
"Diredawa (Hsp)",2016,TRUE,498,"ancss","15-49","15","35",0,0,0,0,"ETH_44862",0,0,"ETH_44862",NA,NA,NA,NA,NA
