"clinic","year_id","used","mean","n","type","agegr","age","agspan","ihme_loc_id","lbd_areal","lbd_missing","iso3","site_pred","adm0_mean","adm0_lower","adm0_upper","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Bafata",1992,TRUE,0.013,300,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bafata",1995,TRUE,0.02,300,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bafata",1998,TRUE,0.036,300,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bissau HNSM",1988,TRUE,0.004,600,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bissau HNSM",1991,TRUE,0.009,600,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bissau HNSM",1992,TRUE,0.012,300,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bissau HNSM",1993,TRUE,0.016,300,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bissau HNSM",1987,TRUE,0.001,600,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bissau HNSM",1998,TRUE,0.052,300,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bissau HNSM",1999,TRUE,0.043,300,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bissau HNSM",1994,TRUE,0.026,300,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bissau HNSM",1996,TRUE,0.025,300,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cancungo",1995,TRUE,0.02,300,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cancungo",1998,TRUE,0.026,300,"ancss","15-49","15","35","GNB",0,0,"GNB",NA,NA,NA,NA,NA,NA,NA,NA,NA
