"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Abéché",1999,TRUE,172,"ancss","15-49","15","35",NA,NA,NA,NA,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bol",1999,TRUE,116,"ancss","15-49","15","35",NA,NA,NA,NA,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bongor",1999,TRUE,464,"ancss","15-49","15","35",NA,NA,NA,NA,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Liberté",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Moundou",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Moundou",1999,TRUE,421,"ancss","15-49","15","35",NA,NA,NA,NA,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"NDjamena Centre",1994,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"NDjamena Centre",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"NDjamena Sud",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Sarh",1999,TRUE,1128,"ancss","15-49","15","35",NA,NA,NA,NA,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Sarh",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bol",2000,TRUE,130,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bongor",2000,TRUE,468,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Liberté",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Moundou",2000,TRUE,90,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"NDjamena Sud",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Polyclinique",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Sarh",2000,TRUE,1128,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Abéché",2002,TRUE,353,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bah",2002,TRUE,391,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Baktchoro",2002,TRUE,391,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bol",2002,TRUE,349,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bongor",2002,TRUE,375,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Deli",2002,TRUE,326,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Guelendeng",2002,TRUE,399,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Massaguet",2002,TRUE,312,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Mongo",2002,TRUE,331,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Moundou",2002,TRUE,396,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"NDjamena Centre",2002,TRUE,399,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Sarh",2002,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Abéché",2003,TRUE,399,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Adré",2003,TRUE,146,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bah",2003,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bol",2003,TRUE,364,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bongor",2003,TRUE,401,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bébidjia",2003,TRUE,399,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Deli",2003,TRUE,286,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Doba",2003,TRUE,399,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Guelendeng",2003,TRUE,391,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Kouryadje",2003,TRUE,356,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Massaguet",2003,TRUE,99,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Moundou",2003,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"NDjamena Centre",2003,TRUE,347,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"NDjamena Sud",2003,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Pala",2003,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Sarh",2003,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Abéché",2009,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Ati",2009,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bol",2009,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Mao",2009,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Mongo",2009,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Abéché",2010,TRUE,398,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Ati",2010,TRUE,386,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Baktchoro",2010,TRUE,260,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bol",2010,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Doba",2010,TRUE,301,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Guelendeng",2010,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Mao",2010,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Mongo",2010,TRUE,399,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Moundou",2010,TRUE,398,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Pala",2010,TRUE,399,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Roi Fayçal",2010,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Sarh",2010,TRUE,399,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"koumra",2010,TRUE,412,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Abéché",2011,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Ati",2011,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Baktchoro",2011,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Bol",2011,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Deli",2011,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Doba",2011,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Guelendeng",2011,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Mao",2011,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
"Mongo",2011,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"TCD",0,0,"TCD",NA,NA,NA,NA,NA
