"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Gulele",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Gulele",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Higher 23",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Higher 23",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kazanchis",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kazanchis",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Teklehymanot",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Teklehymanot",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Gulele",2001,TRUE,297,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Higher 23",2001,TRUE,308,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kazanchis",2001,TRUE,277,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Teklehymanot",2001,TRUE,301,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Gulele",2002,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Higher 23",2002,TRUE,305,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kazanchis",2002,TRUE,304,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Teklehymanot",2002,TRUE,305,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Akaki",2003,TRUE,304,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Gulele",2003,TRUE,306,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Higher 23",2003,TRUE,306,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kazanchis",2003,TRUE,284,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Teklehymanot",2003,TRUE,252,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Akaki",2005,TRUE,428,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Gulele",2005,TRUE,393,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Higher 23",2005,TRUE,444,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kazanchis",2005,TRUE,341,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Teklehymanot",2005,TRUE,333,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Akaki",2007,TRUE,309,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Gulele",2007,TRUE,310,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Higher 23",2007,TRUE,343,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kazanchis",2007,TRUE,283,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Teklehymanot",2007,TRUE,274,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Akaki",2009,TRUE,420,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Gulele",2009,TRUE,310,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Higher 23",2009,TRUE,333,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kazanchis",2009,TRUE,497,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kolfe HC",2009,TRUE,497,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kotebe HC",2009,TRUE,393,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Teklehymanot",2009,TRUE,304,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Akaki",2012,TRUE,410,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Gulele",2012,TRUE,314,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Higher 23",2012,TRUE,498,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kazanchis",2012,TRUE,500,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kolfe HC",2012,TRUE,500,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kotebe HC",2012,TRUE,500,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Teklehymanot",2012,TRUE,308,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Akaki",2014,TRUE,500,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Gulele",2014,TRUE,499,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Higher 23",2014,TRUE,500,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kazanchis",2014,TRUE,458,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kolfe HC",2014,TRUE,470,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Kotebe HC",2014,TRUE,500,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Teklehymanot",2014,TRUE,382,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
"Akaki",2016,TRUE,350,"ancss","15-49","15","35",0,0,0,0,"ETH_44861",0,0,"ETH_44861",NA,NA,NA,NA,NA
